,Date,label,lon1,lon2,lat1,lat2
0,2017-01-01,Gravel,-138.0,-130.354609375,-50.18265625000001,-55.96236328124999
1,2017-01-01,Gravel,-20.263837890624984,-12.453476562500015,-45.727392578125006,-54.93072265625
2,2017-01-01,Sugar,156.66257812500004,162.140625,-50.2218359375,-54.298662109375016
3,2017-01-01,Fish,15.533300781249977,25.47121093749999,-43.44868164062501,-49.76361328125
4,2017-01-01,Gravel,-16.133925781249985,-1.6685546875000057,-37.48241210937499,-49.13481445312502
5,2017-01-01,Fish,-179.62641750335695,-167.29582275390624,-29.034921874999995,-41.505712890625006
6,2017-01-01,Fish,124.51640624999999,134.32330078125,-34.872412109375006,-41.473740234374986
7,2017-01-01,Fish,19.501796874999997,33.050078125,-33.166318359375,-40.37666992187499
8,2017-01-01,Fish,155.42824218750002,165.3874609375,-31.838203125000007,-36.854746093749995
9,2017-01-01,Fish,173.285703125,176.6796875,-29.236152343749993,-35.663564453125005
10,2017-01-01,Fish,82.5,92.19716796874997,-29.791904296875003,-35.19215820312499
11,2017-01-01,Fish,93.0,98.19332031250002,-22.491923828124996,-31.401796875000002
12,2017-01-01,Sugar,103.5,109.98865234375,-22.0,-31.389101562499988
13,2017-01-01,Fish,-94.84468749999999,-84.904931640625,-26.944072265624996,-31.04282226562499
14,2017-01-01,Fish,-8.246464843750005,6.677343750000006,-24.19804687499999,-29.184960937499994
15,2017-01-01,Fish,84.01158203124999,92.01566406249998,-22.468056640624994,-28.82435546875
16,2017-01-01,Fish,-20.91384765625,-6.274199218749999,-22.515351562499987,-27.868369140625006
17,2017-01-01,Sugar,21.789843750000017,32.10320312499999,-22.127900390624987,-27.542773437500003
18,2017-01-01,Flower,90.40269531249999,101.38351562500003,-17.887187499999996,-27.449501953124994
19,2017-01-01,Fish,-148.5,-134.58296386718752,-20.360410156249998,-25.370546875000002
20,2017-01-01,Flower,-95.9006640625,-85.5203515625,-15.0,-24.637167968750006
21,2017-01-01,Sugar,-63.739121093750015,-56.3787109375,-16.396113281249995,-24.28060546875001
22,2017-01-01,Sugar,-1.5,7.355175781250011,-18.099882812500013,-23.149638671874996
23,2017-01-01,Sugar,-50.806474609375016,-44.1265234375,-15.262089843750005,-22.288857421874994
24,2017-01-01,Sugar,107.60478515624999,114.66380859374999,-16.143994140624997,-21.56885742187501
25,2017-01-01,Flower,-20.29325195312498,-12.451601562500002,-15.226777343750001,-21.284570312499994
26,2017-01-01,Fish,-39.53374023437499,-34.197783203125,-12.009794921874999,-21.003085937500003
27,2017-01-01,Fish,156.58554687499998,162.40382812500002,-11.62109375,-21.001132812500003
28,2017-01-01,Flower,-105.9073046875,-91.37380859375,-8.528505859375002,-20.466240234374993
29,2017-01-01,Gravel,-156.39127197265626,-149.1283544921875,-11.62634765624999,-18.436103515625007
30,2017-01-01,Gravel,-147.88794189453125,-134.626025390625,-8.892431640625006,-16.990410156249993
31,2017-01-01,Fish,-131.0128125,-121.35440917968751,-12.883730468749988,-16.886679687499992
32,2017-01-01,Gravel,66.49771484375003,70.93423828125,-9.470791015624997,-15.892919921874991
33,2017-01-01,Flower,-117.0,-109.3145654296875,-8.368164062500014,-14.567285156249994
34,2017-01-01,Flower,-32.92204101562501,-23.609169921875008,-8.609960937499991,-14.015078125000002
35,2017-01-01,Flower,-123.9657421875,-109.4726611328125,-4.554619140625007,-11.987089843749999
36,2017-01-01,Fish,-21.76781249999999,-11.119824218749983,-1.0747363281249989,-7.682929687499993
37,2017-01-01,Fish,51.00000000000003,61.030195312499984,-1.9343847656249977,-6.377509765625007
38,2017-01-01,Sugar,-174.7533331298828,-166.75306640625,-1.12890625,-6.074677734375001
39,2017-01-01,Fish,-124.1864208984375,-113.32826660156249,0.3033203125000057,-6.010527343749999
40,2017-01-01,Fish,-32.06104492187501,-20.173271484374993,-1.0,-5.960996093749998
41,2017-01-01,Sugar,40.45751953125,49.67533203124998,-1.1210644531250011,-5.8123828125000045
42,2017-01-01,Sugar,45.41623046875,57.380781249999984,2.0293750000000017,-4.732851562500002
43,2017-01-01,Fish,-154.69289794921875,-150.70584716796876,1.6505175781249903,-3.5999218749999926
44,2017-01-01,Sugar,-148.63991455078124,-139.58522460937502,2.3189941406249943,-3.1587109374999898
45,2017-01-01,Sugar,-174.20813232421875,-161.65185424804687,5.729072265624993,-3.077138671874991
46,2017-01-01,Sugar,-122.0016015625,-118.1453564453125,4.183984374999994,-1.1859570312499983
47,2017-01-01,Fish,51.00000000000003,60.69857421875,8.642143554687493,1.7633105468750045
48,2017-01-01,Fish,-126.31705566406251,-115.46482421875001,10.762421875000001,6.070859374999998
49,2017-01-01,Fish,-105.680341796875,-93.37832031250001,13.704179687500002,7.903378906249998
50,2017-01-01,Gravel,145.5105078125,152.206171875,15.204316406250001,8.037617187500004
51,2017-01-01,Sugar,168.23050781249998,174.77578125000002,12.090224609375,8.22909179687501
52,2017-01-01,Sugar,-180.0,-171.93911804199217,12.879160156250009,10.210624999999993
53,2017-01-01,Fish,-54.000000000000014,-44.45048828125002,14.013759765624997,10.285131835937506
54,2017-01-01,Sugar,-126.93912109375,-115.4189599609375,16.714243164062495,11.630029296874994
55,2017-01-01,Sugar,-180.0,-169.57135131835938,19.5342724609375,11.830043945312497
56,2017-01-01,Gravel,172.1744921875,176.44984375,18.69408691406251,12.220605468749994
57,2017-01-01,Fish,-74.699736328125,-66.00056640625,19.590810546875005,12.254506835937505
58,2017-01-01,Sugar,-81.1775,-75.00637695312501,16.5062255859375,12.409296874999995
